,beauty,car_auto,celeb,economy,education,entertainment,food_cooking,game,government,hobbies,kids,life_style,movie,music,news,pet,sports_health,tech,travel
beauty,0.0,0.8999999761581421,0.9100000262260437,0.8899999856948853,0.9100000262260437,0.8799999952316284,0.8899999856948853,0.9100000262260437,0.8299999833106995,0.8899999856948853,0.9200000166893005,0.8700000047683716,0.9100000262260437,0.8799999952316284,0.9100000262260437,0.9200000166893005,0.8799999952316284,0.9100000262260437,0.8999999761581421
car_auto,0.8999999761581421,0.0,0.9200000166893005,0.8600000143051147,0.8799999952316284,0.8600000143051147,0.949999988079071,0.8999999761581421,0.8399999737739563,0.8700000047683716,0.8799999952316284,0.9599999785423279,0.8999999761581421,0.8500000238418579,0.8999999761581421,0.9100000262260437,0.9300000071525574,0.9100000262260437,0.8899999856948853
celeb,0.9100000262260437,0.9200000166893005,0.0,0.8899999856948853,0.9100000262260437,0.8700000047683716,0.8899999856948853,0.9200000166893005,0.8500000238418579,0.9100000262260437,0.9300000071525574,0.8799999952316284,0.9300000071525574,0.8999999761581421,0.9100000262260437,0.9300000071525574,0.8899999856948853,0.9200000166893005,0.9100000262260437
economy,0.8899999856948853,0.8600000143051147,0.8899999856948853,0.0,0.9200000166893005,0.8799999952316284,0.8600000143051147,0.8700000047683716,0.8799999952316284,0.8799999952316284,0.8799999952316284,0.8299999833106995,0.8700000047683716,0.8399999737739563,0.8799999952316284,0.8600000143051147,0.8600000143051147,0.8899999856948853,0.8899999856948853
education,0.9100000262260437,0.8799999952316284,0.9100000262260437,0.9200000166893005,0.0,0.8999999761581421,0.8700000047683716,0.9100000262260437,0.8700000047683716,0.9100000262260437,0.9200000166893005,0.8299999833106995,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8700000047683716,0.9100000262260437,0.9300000071525574
entertainment,0.8799999952316284,0.8600000143051147,0.8700000047683716,0.8799999952316284,0.8999999761581421,0.0,0.8700000047683716,0.8600000143051147,0.8299999833106995,0.8899999856948853,0.8799999952316284,0.8299999833106995,0.8799999952316284,0.8500000238418579,0.8799999952316284,0.8399999737739563,0.8600000143051147,0.8700000047683716,0.8899999856948853
food_cooking,0.8899999856948853,0.949999988079071,0.8899999856948853,0.8600000143051147,0.8700000047683716,0.8700000047683716,0.0,0.8799999952316284,0.8199999928474426,0.8700000047683716,0.8700000047683716,0.9399999976158142,0.8799999952316284,0.8199999928474426,0.8899999856948853,0.8700000047683716,0.949999988079071,0.8899999856948853,0.8799999952316284
game,0.9100000262260437,0.8999999761581421,0.9200000166893005,0.8700000047683716,0.9100000262260437,0.8600000143051147,0.8799999952316284,0.0,0.8199999928474426,0.8899999856948853,0.9300000071525574,0.8500000238418579,0.9599999785423279,0.8899999856948853,0.9200000166893005,0.8999999761581421,0.8700000047683716,0.9200000166893005,0.8899999856948853
government,0.8299999833106995,0.8399999737739563,0.8500000238418579,0.8799999952316284,0.8700000047683716,0.8299999833106995,0.8199999928474426,0.8199999928474426,0.0,0.8199999928474426,0.8299999833106995,0.8100000023841858,0.8399999737739563,0.8100000023841858,0.8500000238418579,0.8399999737739563,0.8199999928474426,0.8299999833106995,0.8399999737739563
hobbies,0.8899999856948853,0.8700000047683716,0.9100000262260437,0.8799999952316284,0.9100000262260437,0.8899999856948853,0.8700000047683716,0.8899999856948853,0.8199999928474426,0.0,0.9300000071525574,0.8399999737739563,0.8799999952316284,0.8700000047683716,0.8899999856948853,0.8899999856948853,0.8799999952316284,0.8899999856948853,0.9200000166893005
kids,0.9200000166893005,0.8799999952316284,0.9300000071525574,0.8799999952316284,0.9200000166893005,0.8799999952316284,0.8700000047683716,0.9300000071525574,0.8299999833106995,0.9300000071525574,0.0,0.8399999737739563,0.9300000071525574,0.8999999761581421,0.9100000262260437,0.9300000071525574,0.8700000047683716,0.9200000166893005,0.8999999761581421
life_style,0.8700000047683716,0.9599999785423279,0.8799999952316284,0.8299999833106995,0.8299999833106995,0.8299999833106995,0.9399999976158142,0.8500000238418579,0.8100000023841858,0.8399999737739563,0.8399999737739563,0.0,0.8700000047683716,0.8199999928474426,0.8799999952316284,0.8799999952316284,0.9200000166893005,0.8799999952316284,0.8500000238418579
movie,0.9100000262260437,0.8999999761581421,0.9300000071525574,0.8700000047683716,0.8999999761581421,0.8799999952316284,0.8799999952316284,0.9599999785423279,0.8399999737739563,0.8799999952316284,0.9300000071525574,0.8700000047683716,0.0,0.8999999761581421,0.9200000166893005,0.9200000166893005,0.8600000143051147,0.9100000262260437,0.8899999856948853
music,0.8799999952316284,0.8500000238418579,0.8999999761581421,0.8399999737739563,0.8999999761581421,0.8500000238418579,0.8199999928474426,0.8899999856948853,0.8100000023841858,0.8700000047683716,0.8999999761581421,0.8199999928474426,0.8999999761581421,0.0,0.8899999856948853,0.8999999761581421,0.8399999737739563,0.8899999856948853,0.8799999952316284
news,0.9100000262260437,0.8999999761581421,0.9100000262260437,0.8799999952316284,0.8999999761581421,0.8799999952316284,0.8899999856948853,0.9200000166893005,0.8500000238418579,0.8899999856948853,0.9100000262260437,0.8799999952316284,0.9200000166893005,0.8899999856948853,0.0,0.8999999761581421,0.8899999856948853,0.9300000071525574,0.8999999761581421
pet,0.9200000166893005,0.9100000262260437,0.9300000071525574,0.8600000143051147,0.8999999761581421,0.8399999737739563,0.8700000047683716,0.8999999761581421,0.8399999737739563,0.8899999856948853,0.9300000071525574,0.8799999952316284,0.9200000166893005,0.8999999761581421,0.8999999761581421,0.0,0.8799999952316284,0.9100000262260437,0.8999999761581421
sports_health,0.8799999952316284,0.9300000071525574,0.8899999856948853,0.8600000143051147,0.8700000047683716,0.8600000143051147,0.949999988079071,0.8700000047683716,0.8199999928474426,0.8799999952316284,0.8700000047683716,0.9200000166893005,0.8600000143051147,0.8399999737739563,0.8899999856948853,0.8799999952316284,0.0,0.8999999761581421,0.8799999952316284
tech,0.9100000262260437,0.9100000262260437,0.9200000166893005,0.8899999856948853,0.9100000262260437,0.8700000047683716,0.8899999856948853,0.9200000166893005,0.8299999833106995,0.8899999856948853,0.9200000166893005,0.8799999952316284,0.9100000262260437,0.8899999856948853,0.9300000071525574,0.9100000262260437,0.8999999761581421,0.0,0.8899999856948853
travel,0.8999999761581421,0.8899999856948853,0.9100000262260437,0.8899999856948853,0.9300000071525574,0.8899999856948853,0.8799999952316284,0.8899999856948853,0.8399999737739563,0.9200000166893005,0.8999999761581421,0.8500000238418579,0.8899999856948853,0.8799999952316284,0.8999999761581421,0.8999999761581421,0.8799999952316284,0.8899999856948853,0.0
